brainid,allenid,resx,resy,resz,sizex,sizey,sizez
18868,,0.23,0.23,1,,,
236174,,0.23,0.23,1,,,
17109,,0.2,0.2,1,,,
210254,,0.35,0.35,1,,,
17300,,0.2,0.2,1,,,
18864,,0.23,0.23,1,,,
17786,,0.2,0.2,1,,,
18470,,0.23,0.23,1,,,
18469,,0.23,0.23,1,,,
18467,,0.23,0.23,1,,,
15257,,0.35,0.35,1,,,
